	mq4Volt
0	2.3388671875
1	2.34375
2	2.333984375
3	2.333984375
4	2.3388671875
5	2.333984375
6	2.353515625
7	2.333984375
8	2.3388671875
9	2.333984375
10	2.3583984375
11	2.333984375
12	2.333984375
13	2.333984375
14	2.333984375
15	2.333984375
16	2.3291015625
17	2.333984375
18	2.3388671875
19	2.3291015625
20	2.333984375
21	2.3291015625
22	2.333984375
23	2.3388671875
24	2.333984375
25	2.333984375
26	2.3291015625
27	2.3193359375
28	2.3291015625
29	2.333984375
30	2.333984375
31	2.333984375
32	2.3291015625
33	2.353515625
34	2.333984375
35	2.3291015625
36	2.333984375
37	2.32421875
38	2.3291015625
39	2.32421875
40	2.32421875
41	2.333984375
42	2.333984375
43	2.3388671875
44	2.32421875
45	2.32421875
46	2.32421875
47	2.3291015625
48	2.32421875
49	2.3291015625
50	2.314453125
51	2.333984375
52	2.353515625
53	2.3291015625
54	2.3291015625
55	2.3291015625
56	2.3291015625
57	2.333984375
58	2.3291015625
59	2.3388671875
60	2.32421875
61	2.333984375
62	2.333984375
63	2.3193359375
64	2.3388671875
65	2.3291015625
66	2.3388671875
67	2.3291015625
68	2.3291015625
69	2.3291015625
70	2.3291015625
71	2.3291015625
72	2.3388671875
73	2.3583984375
74	2.3291015625
75	2.3388671875
76	2.3388671875
77	2.34375
78	2.3388671875
79	2.34375
80	2.3486328125
81	2.36328125
82	2.3583984375
83	2.3876953125
84	2.3681640625
85	2.3681640625
86	2.373046875
87	2.3828125
88	2.3828125
89	2.4072265625
90	2.412109375
91	2.4169921875
92	2.4755859375
93	2.4560546875
94	2.4755859375
95	2.4853515625
96	2.509765625
97	2.4951171875
98	2.5244140625
99	2.5341796875
100	2.5244140625
101	2.5244140625
102	2.5048828125
103	2.490234375
104	2.48046875
105	2.4658203125
106	2.4560546875
107	2.431640625
108	2.421875
109	2.4169921875
110	2.40234375
111	2.40234375
112	2.3876953125
113	2.3828125
114	2.373046875
115	2.3779296875
116	2.36328125
117	2.3681640625
118	2.36328125
119	2.3583984375
120	2.3583984375
121	2.3486328125
122	2.3486328125
123	2.3486328125
124	2.34375
125	2.34375
126	2.3388671875
127	2.353515625
128	2.3291015625
129	2.333984375
130	2.34375
131	2.3388671875
132	2.3193359375
133	2.333984375
134	2.333984375
135	2.333984375
136	2.3291015625
137	2.333984375
138	2.34375
139	2.3388671875
140	2.333984375
141	2.333984375
142	2.32421875
143	2.333984375
144	2.3291015625
145	2.3291015625
146	2.3291015625
147	2.3291015625
148	2.32421875
149	2.333984375
150	2.3291015625
151	2.3388671875
152	2.333984375
153	2.3291015625
154	2.3291015625
155	2.333984375
156	2.34375
157	2.3291015625
158	2.3388671875
159	2.333984375
160	2.3291015625
161	2.333984375
162	2.3388671875
163	2.3388671875
164	2.333984375
165	2.3291015625
166	2.333984375
167	2.333984375
168	2.333984375
169	2.333984375
170	2.3291015625
171	2.3486328125
172	2.333984375
173	2.3291015625
174	2.3388671875
175	2.34375
176	2.32421875
177	2.3388671875
178	2.333984375
179	2.3583984375
180	2.3291015625
181	2.32421875
182	2.333984375
183	2.333984375
184	2.333984375
185	2.32421875
186	2.32421875
187	2.333984375
188	2.3388671875
189	2.32421875
190	2.333984375
191	2.3291015625
192	2.32421875
193	2.333984375
194	2.333984375
195	2.3291015625
196	2.3291015625
197	2.3291015625
198	2.3291015625
199	2.333984375
200	2.3291015625
201	2.333984375
202	2.32421875
203	2.3291015625
204	2.3291015625
205	2.32421875
206	2.333984375
207	2.3291015625
208	2.3291015625
209	2.3193359375
210	2.32421875
211	2.3291015625
212	2.32421875
213	2.3291015625
214	2.3193359375
215	2.3193359375
216	2.3291015625
217	2.3193359375
218	2.3193359375
219	2.3193359375
220	2.34375
221	2.3291015625
222	2.32421875
223	2.3291015625
224	2.32421875
225	2.333984375
226	2.3388671875
227	2.32421875
228	2.3193359375
229	2.3095703125
230	2.32421875
231	2.32421875
232	2.32421875
233	2.32421875
234	2.32421875
235	2.32421875
236	2.32421875
237	2.32421875
238	2.32421875
239	2.32421875
240	2.32421875
241	2.32421875
242	2.3291015625
243	2.32421875
244	2.3291015625
245	2.32421875
246	2.333984375
247	2.32421875
248	2.3291015625
249	2.333984375
250	2.32421875
251	2.333984375
252	2.3291015625
253	2.3486328125
254	2.3193359375
255	2.333984375
256	2.3388671875
257	2.3388671875
258	2.3388671875
259	2.333984375
260	2.3388671875
261	2.3291015625
262	2.34375
263	2.3291015625
264	2.3388671875
265	2.3291015625
266	2.32421875
267	2.333984375
268	2.333984375
269	2.3388671875
270	2.3193359375
271	2.32421875
272	2.333984375
273	2.32421875
274	2.333984375
275	2.3779296875
276	2.4462890625
277	2.5830078125
278	3.0517578125
279	3.8916015625
280	4.462890625
281	4.7119140625
282	4.78515625
283	4.74609375
