	mq4Volt
0	2.275390625
1	2.265625
2	2.28515625
3	2.28515625
4	2.2802734375
5	2.275390625
6	2.2802734375
7	2.275390625
8	2.275390625
9	2.28515625
10	2.2705078125
11	2.275390625
12	2.275390625
13	2.2802734375
14	2.2802734375
15	2.28515625
16	2.2705078125
17	2.2705078125
18	2.265625
19	2.275390625
20	2.2802734375
21	2.2802734375
22	2.28515625
23	2.275390625
24	2.2802734375
25	2.275390625
26	2.28515625
27	2.275390625
28	2.2802734375
29	2.28515625
30	2.2705078125
31	2.275390625
32	2.2802734375
33	2.2802734375
34	2.265625
